#,Ship Name,Abbreviation,Type,Co. Reference,LOA,Beam,Draught,Grt,Net Tonnag,Port Of Registration,Date of Registration,Nationality,Dead Weight,LRN
1,1905 BARGE,BARG,MISCELLANEOUS,41412,36.00,0,0.00,99,99.00,,,,99.00,
2,A LA MARINE,LAM,FREIGHTER,28813,170.06,25.2,9.50,16023,6251.00,HONG KONG,03/03/2011,,20069.00,9386524
3,A2,A2,CRUISE,78322,47.35,8.110,2.41,458,137.00,GEORGE TOWN,,CAYMAN ISLANDS,0.00,1008035
4,AAL BANGKOK,AALB,FREIGHTER,563504,148.99,23,9.80,14053,5373.00,MONROVIA,28/06/2012,LIBERIA,18703.00,9521564
5,AARON,AAR,TUG,COMDCK,23.95,9,3.00,164,49.00,ND,01/01/2013,NETHERLANDS,0.00,9653214
6,ABEKO SERVER 1,ABE1,DREDGER,COMDCK,55.15,15,4.00,10,0.00,HOLLAND,01/01/1998,DUTCH,0.00,245589000
7,ABEKO SERVER 2,ABE2,DREDGER,480211,48.00,12,2.00,999,999.00,0,01/01/1997,DUTCH,0.00,24429000
8,ABEKO SERVER 3,ABE3,DREDGER,480211,44.00,0,3.00,999,999.00,,,,999.00,9252668
9,ACAMAR,ACA,TUG,COMDCK,16.00,5,,99999999,,,,UK,,
10,ACHTHERGRACHT,ACH,FREIGHTER,20246,129.80,18,8.00,7949,4157.00,AMSTERDAM,01/03/2013,NETHERLAND,12150.00,8821802
11,ACWS CONTINGENCY RACING,ACWS CONT,MISCELLANEOUS,20246,50.00,,,100,,,,,,
12,ACWS LIVE RACING,ACWS LIVE,MISCELLANEOUS,20246,50.00,,,100,,,,,,
13,ADIX,ADIX,CRUISE,CASH,67.00,8.6,5.00,21,87.00,LONDON,,UNITED KINGDOM,0.00,1000150
14,ADURNI,ADU,TUG,COMDCK,16.00,5,,999999,,,,UK,,
15,AEGEAN ODYSSEY,AEG ODY,CRUISE,202362,140.50,20.82,6.58,12094,,PANAMA CITY,18/06/1972,PANAMA,4174.00,7225910
16,AEL SERVICE,AEL SERVICE,FREIGHTER,28813,99.00,,,99,,,,,,
17,AETHRA,AETHRA,TUG,507300,94.10,22,7.11,7082,2124.00,LIMASSOL,,CYPRUS,4549.00,9181481
18,AFON LAS,AFLAS,TUG,COMDCK,25.00,9.5,3.04,131,39.00,BEAUMARIS,14/07/2010,UK,200.00,9547398
19,AFON LLIGWY,AFO,TUG,20193,2.35,8,2.00,119,0.00,,,UK,0.00,9266384
20,AFRIC STAR,AFR,FREIGHTER,28813,158.53,23,9.00,11590,6230.00,NASSAU,,,12519.00,8713562
