sensor_key,sensor_description,value,last_shared_date,period(min)
CO@1_0_10,House 1_Floor1_LivingRoom_Electric_Sockets_Control,,,
CO@1_0_11,House 1_Floor1_LivingRoom_Electric_Sockets_Status,,,
CO@1_0_122,House 1_Floor2_Landing_Electric_Lights_Control,0.0,2024-02-28 11:26:03,
CO@1_0_123,House 1_Floor2_Landing_Electric_Lights_Status,0.0,2024-02-28 11:26:05,
CO@1_0_125,House 1_Floor2_Landing_Electric_Lights_Current,0.0,2024-02-28 11:26:23,
CO@1_0_126,House 1_Floor2_Landing_Electric_Lights_Power,0.0,2024-02-28 11:26:22,
CO@1_0_128,House 1_Floor2_Landing_Electric_Lights_CumEnergy,,,
CO@1_0_13,House 1_Floor1_LivingRoom_Electric_Sockets_Current,,,
CO@1_0_130,House 1_Floor2_Bed1_Electric_Lights_Control,0.0,2024-05-23 09:14:39,
CO@1_0_131,House 1_Floor2_Bed1_Electric_Lights_Status,0.0,2024-05-23 09:14:39,
CO@1_0_133,House 1_Floor2_Bed1_Electric_Lights_Current,0.0,2024-05-23 09:14:43,
CO@1_0_134,House 1_Floor2_Bed1_Electric_Lights_Power,0.0,2024-05-23 09:14:43,
CO@1_0_136,House 1_Floor2_Bed1_Electric_Lights_CumEnergy,,,
CO@1_0_138,House 1_Floor2_Bed2_Electric_Lights_Control,,,
CO@1_0_139,House 1_Floor2_Bed2_Electric_Lights_Status,,,
CO@1_0_14,House 1_Floor1_LivingRoom_Electric_Sockets_Power,,,
CO@1_0_141,House 1_Floor2_Bed2_Electric_Lights_Current,0.0,2023-11-30 09:26:31,
CO@1_0_142,House 1_Floor2_Bed2_Electric_Lights_Power,0.0,2023-11-30 09:26:29,
CO@1_0_144,House 1_Floor2_Bed2_Electric_Lights_CumEnergy,,,
CO@1_0_16,House 1_Floor1_LivingRoom_Electric_Sockets_CumEnergy,,,
CO@1_0_162,House 1_Floor1_Bathroom_Electric_Lights_Control,0.0,2024-04-08 06:48:57,
CO@1_0_163,House 1_Floor1_Bathroom_Electric_Lights_Status,0.0,2024-04-08 06:48:57,
CO@1_0_165,House 1_Floor1_Bathroom_Electric_Lights_Current,0.0,2024-03-27 06:50:30,
CO@1_0_166,House 1_Floor1_Bathroom_Electric_Lights_Power,0.0,2024-03-27 06:50:30,
